titulo,isbn,autores,editora,dataPublicacao,idioma,numeroPaginas
The Noonday Demon - Vol. 1,9780225078213,Johann Hari,Record,1993-07-24,por,107
Remote - For Beginners,9783510409921,Brendan Burns,Objetiva,1991-08-19,eng,915
The Castle - Nível Avançado,9780583620772,Neal Stephenson,Vintage Books,1959-06-28,eng,1281
Fundamentals of Software Architecture - in Action,9785684507267,Robert Tibshirani,Record,1996-10-26,eng,899
Influence - 5ª Edição,9780523533933,Kay Redfield Jamison;Carol Dweck,Yale University Press,2024-09-15,eng,688
2001 A Space Odyssey - Vol. 3,9782959056765,Kief Morris,Harvard University Press,1988-07-17,zho,628
Database Internals - Tomo I,9783060327683,Chico Buarque;Trevor Hastie,Oxford University Press,2006-05-10,por,1201
Ready Player One - Best Practices,9786227565409,Graciliano Ramos,O'Reilly Media,2023-07-27,fra,66
The Name of the Rose - Guia Prático,9789736980428,Erich Gamma,Random House,1950-10-14,eng,538
The Intelligent Investor - Nível Iniciante,9781169957602,Michael Lewis,Norton,1909-06-14,por,1322
The Innovator's Dilemma - Nova Edição,9785555017314,Robert Sedgewick;Roger Penrose,Springer,1990-08-21,por,872
Crítica da Razão Pura - 2020,9788361760153,Mário de Andrade;Gabriel García Márquez,Objetiva,1985-01-25,spa,724
The Dispossessed - Guia Prático,9783373386452,Frederick Brooks;Jonathan Franzen,Del Rey,1947-04-05,spa,213
The Aleph - Edição Clássica,9788210810411,Eric Evans,Orbit,1926-12-25,eng,1496
The Name of the Rose - Edição Anotada,9782643374854,Malcolm Gladwell,Puffin Books,2009-08-23,por,505
Project Hail Mary - Edição Crítica,9782760397774,Umberto Eco;Kurt Vonnegut;Erich Gamma,Crown,1999-03-13,eng,310
Cryptonomicon - Best Practices,9787294663104,Mark Richards,Puffin Books,2005-01-12,eng,1297
Designing Distributed Systems - 2023,9786022762287,Kent Beck,Objetiva,1958-05-22,rus,1376
The Time Machine - 2017,9781270975342,Roger Penrose,Sams Publishing,1953-11-03,fra,767
The Time Machine - For Beginners,9787326855507,Thomas Mann;Gabriel García Márquez,MIT Press,1972-10-12,eng,925
O Alquimista - Edição Crítica,9787992455971,Donald Knuth;Yoshua Bengio,Dutton,2009-12-01,eng,400
Superintelligence - Advanced Topics,9787033193725,George Orwell,Alfaguara,1986-01-28,spa,558
Shape Up - in Action,9789505561964,Toni Morrison;James Baldwin,Alfaguara,1994-03-25,eng,151
A Origem das Espécies - Edição Comemorativa,9782736024406,Max Tegmark,Anchor Books,1941-03-09,por,838
Guerra e Paz - 3ª Edição,9784220793317,Len Bass,Bantam Spectra,1993-06-16,por,1383
Nudge,9789296568937,Hermann Hesse,Harvard University Press,2013-08-07,eng,211
Surely You're Joking Mr. Feynman - Edição Crítica,9784691530183,Neil deGrasse Tyson,Dutton,1909-08-05,eng,816
Effective Java - 2023,9788775715053,Carl Sagan,Knopf,1904-12-24,por,1401
The Name of the Rose - A Deep Dive,9783885976431,Steve McConnell,Cosac Naify,1995-05-06,por,442
The Bell Jar - Vol. 1,9786392514639,James Clear,Knopf,2012-05-10,eng,700
The Pragmatic Programmer - in Depth,9781179408071,Peter Norvig,Anchor Books,1908-06-13,por,743
Zero to One - Nova Edição,9784005352760,Ian Goodfellow;James Watson,Tor Books,1910-03-17,eng,1354
Hands-On Machine Learning - Guia Completo,9783587957905,Alex Xu;Steve McConnell,Prentice Hall,1949-11-14,eng,1160
Dare to Lead - Edição Crítica,9784636683172,Max Tegmark,Intrínseca,1924-03-09,eng,618
Cosmicomics - 2023,9783018375568,Orson Scott Card,Bantam Spectra,1908-07-05,zho,148
A Hora da Estrela - Patterns and Practices,9780521032797,Peter Norvig,Iluminuras,1901-08-05,spa,1127
The Great Gatsby - Edição Ilustrada,9784408175980,William Gibson,Tor Books,2007-04-13,jpn,93
Ulisses - Edição Crítica,9783299391202,Franz Kafka,Addison-Wesley,1989-09-15,eng,1360
As 48 Leis do Poder - Vol. 2,9787181755493,Chris Richardson;Eric Evans,Planeta,1988-10-25,eng,1221
Sapiens - Edição Anotada,9780713312768,Nassim Nicholas Taleb;George Orwell;Ernest Hemingway,Rocco,1915-03-12,zho,988
Design Patterns - Edição Atualizada,9780712894036,John Steinbeck;Simon Sinek,Simon & Schuster,1948-01-04,zho,392
O Alquimista - Advanced Topics,9783131738714,Juan Rulfo,Alfaguara,1991-07-09,por,733
Enlightenment Now - For Beginners,9783238884871,Thomas Pynchon,Planeta,1930-03-25,spa,664
Surely You're Joking Mr. Feynman - Nível Iniciante,9789929564725,Kent Beck,Manning Publications,1982-08-24,por,400
Clean Code,9786133039728,Cal Newport,Anchor Books,2011-11-04,eng,1312
Nudge - Nível Iniciante,9788306142693,Neil Gaiman,Little Brown,2001-04-17,por,1256
Cem Anos de Solidão - Tomo II,9786372255378,Suzanne Collins;Milton Hatoum,Objetiva,1952-02-22,eng,478
Atomic Habits - Illustrated,9785928164508,Thomas Mann,Little Brown,2006-09-07,por,706
Cosmos - Vol. 2,9786587711737,Betsy Beyer;Isaac Asimov,Harvard University Press,2008-04-03,eng,630
Poder sem Limites - Edição Especial,9783617531754,Brené Brown,Leya,1902-06-24,eng,457
Thinking Fast and Slow - Edição Revisada,9784286517971,Baron Schwartz,Pearson,1904-03-28,por,960
Good Omens - Edição Revisada,9786734892241,William Gibson;James Watson;Siddhartha Mukherjee,Oxford University Press,2020-05-03,eng,951
The Hunger Games - Vol. 3,9782491257880,Steven Pinker,Pearson,2001-05-01,eng,127
System Design Interview - Manual do Desenvolvedor,9786034550964,Toni Morrison;Roger Penrose,Martins Fontes,1966-02-20,por,422
Kubernetes in Action - 2018,9783873925595,J.R.R. Tolkien,Apress,1935-12-10,por,1341
Ready Player One - Nível Intermediário,9784295831822,J.R.R. Tolkien;George Orwell,Anchor Books,1984-12-03,kor,340
Refactoring - in Action,9784203251537,Chico Buarque;Kief Morris;Charles Duhigg,McGraw-Hill,1993-10-06,eng,819
Infinite Jest - Cookbook,9784699363035,Kurt Vonnegut;Stuart Russell,Crown,2015-08-05,eng,1224
Invisible Cities - Guia Prático,9785389965201,Max Tegmark,Princeton University Press,1945-07-18,zho,1320
The Left Hand of Darkness - Edição Bilíngue,9785294946418,George Orwell,Puffin Books,1912-08-19,por,1216
Sobre a Brevidade da Vida - Advanced Topics,9786095155405,Arthur C. Clarke;Charles Duhigg,McGraw-Hill,2009-01-08,eng,606
Getting Things Done - Illustrated,9780300850413,Neil Gaiman,HarperCollins,1939-01-10,eng,1400
Project Hail Mary - Tomo II,9786834534492,Clayton Christensen,Puffin Books,1997-11-20,eng,819
A Metamorfose - Edição Atualizada,9784599154610,Angela Duckworth;Douglas Hofstadter,Cosac Naify,2023-03-12,eng,925
O Ser e o Nada - Edição Atualizada,9788692924569,Hans Rosling,Harvard University Press,1905-04-17,eng,1372
The Algorithm Design Manual,9781171102519,Mark Richards;Wes McKinney;Trevor Hastie,Objetiva,1901-09-23,eng,965
Invisible Cities - Reference,9785828183272,Don DeLillo;Milton Hatoum,Orbit,1973-11-04,fra,1457
Good Omens - 2021,9789847935911,Thomas Pynchon,Apress,1991-02-17,eng,776
Poder sem Limites - Reference,9787282891397,Carl Sagan,Del Rey,1982-01-12,por,111
Hyperion - Guia Completo,9782336595825,Angela Duckworth,Companhia das Letras,2021-11-23,eng,285
2001 A Space Odyssey - Best Practices,9785142562753,Douglas Adams;Erich Gamma,Tor Books,1901-12-01,eng,1344
The Left Hand of Darkness - Vol. 1,9789968432818,Douglas Hofstadter;Len Bass,Planeta,1963-04-04,spa,919
Rendezvous with Rama,9788217252498,Mark Richards;Günter Grass,Norton,1939-12-04,spa,1117
The Idiot - Reference,9782859010874,Hermann Hesse,Dutton,1986-12-27,eng,1051
The Hard Thing About Hard Things - Vol. 2,9784782550243,Steven Skiena,Tor Books,2006-06-13,eng,801
A Arte da Guerra - Edição Bilíngue,9781421905518,John Steinbeck;Anton Chekhov,Knopf,1903-12-01,por,1054
Ética a Nicômaco - Edição Ilustrada,9780426538257,Kevin Wayne,Puffin Books,1999-06-18,eng,130
Dois Irmãos - 2018,9788814537707,Trevor Hastie;Isaac Asimov,Vintage Books,1923-09-28,por,1055
The Mythical Man-Month - Essentials,9787846382637,Yuval Noah Harari,Random House,2018-08-20,por,390
Life 3.0 - Essentials,9788249214754,Kay Redfield Jamison;Aldous Huxley,Prentice Hall,2011-10-08,rus,178
Refactoring - Edição Bilíngue,9781233092666,Dan Simmons;Yuval Noah Harari,HarperCollins,2014-05-23,eng,1220
The Body Keeps the Score - A Deep Dive,9783086530609,Steven Skiena,Orbit,1949-10-23,spa,1306
The Big Short - 2ª Edição,9781238324526,J.K. Rowling,Springer,1911-05-07,spa,169
Ficciones - Fundamentals,9782164783289,Suzanne Collins,MIT Press,1990-08-16,eng,296
The Time Machine - in Action,9781453591185,Don DeLillo,Random House,1944-03-08,kor,876
The Road - Best Practices,9783599681850,Leo Tolstoy;Neil Gaiman,O'Reilly Media,1964-11-03,eng,1488
Dead Souls - Cookbook,9786627633364,Fyodor Dostoevsky,Princeton University Press,1963-07-05,spa,1047
Building Microservices - Vol. 2,9782903643706,Robert Sedgewick,HarperCollins,1994-03-14,spa,575
Ulisses - 2018,9785145696448,Carl Sagan,Pragmatic Bookshelf,1955-11-15,eng,579
Poder sem Limites - Nova Edição,9780931908217,Angela Duckworth;Ursula K. Le Guin;Max Tegmark,Oxford University Press,1914-07-09,eng,98
Refactoring - Nova Edição,9781523008025,Betsy Beyer,No Starch Press,1916-06-07,eng,301
Building Microservices - 4ª Edição,9783696485443,Aldous Huxley,Anchor Books,1981-10-08,deu,588
O Hobbit - Edição Premium,9784964070477,Brené Brown,Rocco,1941-11-14,fra,244
The C Programming Language - Nova Edição,9780708747674,Michael Lewis,Pearson,1960-04-03,spa,1086
Sprint - Guia Completo,9786529118549,Robert Sedgewick,Norton,1951-08-09,por,1027
Measure What Matters - Vol. 5,9788487651618,Joseph Heller,Penguin Books,1936-11-24,spa,1041
Atomic Habits - Edição Bilíngue,9787400137727,Joseph Heller,MIT Press,1905-08-18,deu,861
Slaughterhouse-Five - Edição Crítica,9785767452637,Frank Herbert;Yuval Noah Harari,Norton,1961-03-21,por,67
Competitive Programming - Guia Completo,9782932137245,Jorge Luis Borges,Puffin Books,2018-04-02,eng,251
The Algorithm Design Manual - Manual do Desenvolvedor,9781665117555,Carl Sagan,Vintage Books,1900-12-23,por,1235
Cosmicomics - 2016,9785735218852,Stuart Russell,Signet Classic,1940-12-07,por,438
Building Microservices - Edição Revisada,9785026121243,John Steinbeck;Ernest Hemingway,Manning Publications,1930-05-06,eng,1015
Além do Bem e do Mal - For Beginners,9789539175984,Douglas Hofstadter,Intrínseca,1986-02-20,eng,1428
Orgulho e Preconceito - Advanced Topics,9785531641540,Cal Newport,Bantam Spectra,1926-09-06,rus,154
A Arte da Guerra - Best Practices,9784526072109,Dan Simmons,Crown,1987-01-10,kor,318
Deep Work - Vol. 2,9781200259061,Carl Sagan,O'Reilly Media,2000-04-22,eng,620
Fathers and Sons - in Practice,9780873020602,Christopher Bishop,Crown,1908-04-14,por,659
Cryptonomicon - Vol. 1,9788224237853,Len Bass,Signet Classic,1944-05-25,spa,129
Underworld - 2017,9784591427682,Ralph Ellison,McGraw-Hill,1904-11-04,eng,779
Os Irmãos Karamazov - Parte 2,9781970053937,Ernest Hemingway,Pragmatic Bookshelf,2000-12-17,por,612
The Innovator's Dilemma - Nível Avançado,9782586510678,Michael Lewis;Isaac Asimov,Manning Publications,1919-05-05,deu,66
The Emperor's New Mind - Edição de Bolso,9785688242270,James Watson;Baron Schwartz,Dutton,1946-08-07,zho,288
A Origem das Espécies - Parte 1,9787360027106,Jim Collins,Manning Publications,2018-10-09,deu,1301
Accelerate - Edição Integral,9782974068194,Gabriel García Márquez,Bloom,1965-05-12,eng,1037
Ender's Game - 2018,9789338163830,Leo Tolstoy,Pragmatic Bookshelf,1940-06-10,eng,1251
The Aleph - Tomo II,9783576186071,Don DeLillo,Simon & Schuster,1927-10-03,por,1306
O Sol Também Se Levanta - Reference,9782186182725,Anton Chekhov,Norton,2014-12-25,eng,1363
Code Complete - 2021,9780571214365,James Baldwin,Planeta,2009-02-10,eng,1368
Anathem - Vol. 4,9788884434470,Michael Feathers,Norton,2012-01-19,eng,1298
The Time Machine - Cookbook,9789842736629,João Guimarães Rosa,Bloom,1925-10-05,por,258
Anna Karenina - Edição Comemorativa,9785126642419,Yoshua Bengio,Little Brown,1941-11-15,eng,1484
Lost Connections - Parte 1,9782965600327,Richard Dawkins,Signet Classic,1989-09-18,eng,626
Homo Deus - Edição Ampliada,9781225058052,Steven Skiena;Neil Gaiman,Signet Classic,2023-01-27,por,1243
Rendezvous with Rama - in Action,9789100905767,William Faulkner;Simon Sinek,Prentice Hall,1990-07-11,eng,205
Structure and Interpretation of Computer Programs - 2022,9786756031703,William Faulkner,Cambridge University Press,1930-12-01,por,1264
Neuromancer - 3ª Edição,9787482952645,Anton Chekhov,Apress,2020-09-11,por,1265
The DevOps Handbook - Parte 1,9786126156432,Malcolm Gladwell,Penguin Books,2007-04-02,eng,497
Oblomov,9783308148469,Brian Greene,Vintage Books,2009-05-26,por,1023
Designing Data-Intensive Applications - 6ª Edição,9785867522728,Aldous Huxley;Peter Thiel,Springer,1943-12-15,eng,1484
The Algorithm Design Manual - Nível Iniciante,9789699472954,George Orwell;Alex Xu;Carol Dweck,Pragmatic Bookshelf,1974-03-04,por,925
A Revolução dos Bichos - 2016,9781624274497,Simon Sinek,Princeton University Press,1951-09-14,eng,751
The Innovator's Dilemma - Patterns and Practices,9786097199544,Charles Duhigg,Objetiva,1980-05-21,spa,1144
A Metamorfose - Applied,9781007948427,Angela Duckworth;Aurélien Géron,Apress,2001-03-07,por,373
The Hard Thing About Hard Things - Edição Revisada,9788797259221,Carl Sagan,Sams Publishing,1953-06-19,eng,1470
Uma Breve História do Tempo - Edição Comemorativa,9782047047835,Adam Grant,Signet Classic,1941-02-09,por,311
The Noonday Demon - Vol. 2,9787385395624,Thomas Mann,Prentice Hall,1911-02-23,eng,841
Introduction to Algorithms - 2024,9781696883306,Robert Sedgewick,Rocco,1982-09-20,spa,1169
Crítica da Razão Pura - in Practice,9786879942528,Yuval Noah Harari,Companhia das Letras,2013-07-27,ita,84
Measure What Matters - Reference,9788385417934,Jim Collins;Kurt Vonnegut,Penguin Books,1976-09-15,spa,64
Blood Meridian - Manual do Desenvolvedor,9783953461463,Viktor Frankl,Cosac Naify,1974-03-01,eng,1020
The Double Helix - Step by Step,9783365670996,William Gibson;Thomas Mann,Signet Classic,1990-01-08,eng,1307
Ulisses - Edição Atualizada,9785995253662,Mark Richards;Thomas Pynchon,Manning Publications,1963-12-27,eng,1412
The Brain That Changes Itself - Vol. 2,9783069247364,Ivan Turgenev,Del Rey,1957-08-10,eng,307
Invisible Man - Step by Step,9782180864740,Christopher Bishop,Farrar Straus and Giroux,1988-02-14,eng,813
Code Breaker - Edição Integral,9782691137425,Carol Dweck;Mark Richards;Johann Hari,Apress,1997-10-08,eng,742
Deep Work - Parte 2,9788712125198,Gabriel García Márquez,Vintage Books,1958-05-16,por,1055
American Gods - Tomo II,9789799386953,Thomas Mann;Robert C. Martin,McGraw-Hill,1972-10-21,spa,408
Invisible Cities - Edição Especial,9782362014567,Peter Norvig;Jennifer Doudna;Yoshua Bengio,Little Brown,2009-06-03,por,150
Ser e Tempo - Edição Comemorativa,9789521235795,Johann Hari;Eric Evans;Steven Skiena,Cosac Naify,1951-06-24,spa,1302
The Black Swan,9780751335415,Steven Pinker,Packt Publishing,1909-09-09,por,1398
Getting Things Done - 2023,9781480777736,Clayton Christensen,McGraw-Hill,2010-07-12,kor,407
The Time Machine - 3ª Edição,9782930114644,Fyodor Dostoevsky;Yuval Noah Harari,Random House,1953-12-21,por,1349
Moby Dick - Cookbook,9785662479814,Martin Fowler;Kay Redfield Jamison,Orbit,2010-10-06,eng,1244
Cosmicomics - Applied,9781165459131,Martin Fowler,Prentice Hall,1917-05-13,deu,471
Nudge - Parte 3,9785694858809,Baron Schwartz,McGraw-Hill,1996-09-27,eng,1011
The C Programming Language - 2018,9783421850362,Chico Buarque;Don DeLillo,Crown,1945-07-08,eng,728
Designing Distributed Systems - A Deep Dive,9781401060756,Cal Newport,Del Rey,1986-05-09,por,72
A Origem das Espécies - Cookbook,9785210679932,Graciliano Ramos,Random House,1927-10-14,spa,423
The Elements of Statistical Learning - Guia Prático,9789653626386,Neil deGrasse Tyson,Manning Publications,2018-03-08,eng,782
A Random Walk Down Wall Street - Edição Atualizada,9785169806915,Wes McKinney,Packt Publishing,1964-05-10,eng,265
Working Effectively with Legacy Code - 2017,9780827180260,Nikolai Gogol;Stuart Russell;Clarice Lispector,Del Rey,1953-08-13,por,672
The Name of the Rose - 2021,9787472368616,Ralph Ellison;Jonathan Franzen,Yale University Press,1980-05-07,kor,74
Invisible Cities,9785403323871,Roger Penrose,Alfaguara,1955-12-07,eng,87
Moby Dick - For Beginners,9788853203717,Umberto Eco,Little Brown,1972-02-01,deu,322
Good to Great - A Deep Dive,9789941569234,Martin Fowler;Kief Morris,No Starch Press,1950-03-17,eng,333
O Universo Elegante - Reference,9783481639907,Eric Evans;Baron Schwartz,Objetiva,1996-05-04,ita,729
The Idiot - Patterns and Practices,9784045520501,Donald Knuth,Manning Publications,1905-04-21,eng,79
Notes from Underground - Essentials,9784006680275,Frederick Brooks,Sams Publishing,1900-09-11,por,799
Incognito - 2017,9781621544517,Kent Beck;Clarice Lispector,Crown,1982-07-13,por,788
The Trial - in Action,9788507970675,Erich Gamma,Cosac Naify,2020-08-19,eng,539
The Tin Drum - Guia Completo,9785320350677,Jim Collins;Kief Morris,Manning Publications,1936-07-12,eng,50
Crítica da Razão Pura - 4ª Edição,9781129594175,Eric Evans;Neal Ford,O'Reilly Media,1908-06-28,por,400
Measure What Matters - Edição Crítica,9783014840930,Michael Lewis,Alfaguara,1948-03-09,eng,1106
Moby Dick - Guia Prático,9788705578017,Stuart Russell,Iluminuras,2021-10-04,por,652
Foundation - Step by Step,9783988064257,Max Tegmark,Leya,2012-03-03,por,803
Infinite Jest - Advanced Topics,9786661194418,Bessel van der Kolk;Peter Norvig,McGraw-Hill,1954-03-10,eng,360
Accelerate - Guia Prático,9784364689644,Simon Sinek,Pearson,1979-05-24,eng,1006
Dom Casmurro - 2023,9789554148840,Charles Duhigg,Record,1977-11-25,eng,372
Superintelligence - Parte 3,9783269474065,Isaac Asimov,Addison-Wesley,1917-04-20,eng,326
Macunaíma - Edição Bilíngue,9780467059919,Ralph Ellison,Intrínseca,1969-06-27,por,1220
The Tin Drum - 4ª Edição,9785349512025,James Baldwin,Crown,1983-10-12,eng,916
Uma Breve História do Tempo - Nível Iniciante,9785531422361,Kent Beck,Crown,1979-12-04,por,1055
Underworld - The Complete Guide,9784211102678,Ursula K. Le Guin,Bantam Spectra,1922-09-12,por,116
The Gifts of Imperfection - Edição Definitiva,9787073107621,William Gibson,Doubleday,1961-05-19,eng,102
O Hobbit - Edição Atualizada,9784409093801,Nick Bostrom,Puffin Books,1949-04-12,eng,577
Snow Crash - Edição Integral,9784888777841,William Faulkner,Tor Books,2022-02-18,eng,528
The Lean Startup - Parte 2,9780775476040,George Orwell;Ian Goodfellow,Wiley,1920-07-10,por,144
Guerra e Paz - Nova Edição,9788154106045,Douglas Hofstadter,McGraw-Hill,1938-12-18,kor,772
O Processo - Edição Ampliada,9784151370038,Neil deGrasse Tyson,Tor Books,1935-07-03,por,484
The Algorithm Design Manual - Edição Premium,9786677329149,William Gibson,Harvard University Press,1983-06-11,rus,815
Vidas Secas - Nível Intermediário,9787734413962,Peter Thiel,Vintage Books,1990-01-05,fra,389
Factfulness - 2021,9786495517995,Orson Scott Card,Harvard University Press,2002-06-28,eng,210
